"","timestamp","avg_pm25","pollution_level","TEMP","DEWP","PRES","Iws","cbwd","Is","Ir"
"1",2010-01-02 01:00:00,145.333333333333,1,-4,-15,1020,2.68,"SE",0,0
"2",2010-01-02 02:00:00,162.666666666667,1,-5,-11,1021,3.57,"SE",0,0
"3",2010-01-02 03:00:00,159.333333333333,1,-5,-7,1022,5.36,"SE",1,0
"4",2010-01-02 04:00:00,142.666666666667,1,-5,-7,1022,6.25,"SE",2,0
"5",2010-01-02 05:00:00,117.333333333333,1,-6,-7,1022,7.14,"SE",3,0
"6",2010-01-02 06:00:00,112.666666666667,1,-6,-7,1023,8.93,"SE",4,0
"7",2010-01-02 07:00:00,116.333333333333,1,-5,-7,1024,10.72,"SE",0,0
"8",2010-01-02 08:00:00,125.333333333333,1,-6,-8,1024,12.51,"SE",0,0
"9",2010-01-02 09:00:00,130.666666666667,1,-5,-7,1025,14.3,"SE",0,0
"10",2010-01-02 10:00:00,141.333333333333,1,-5,-7,1026,17.43,"SE",1,0
"11",2010-01-02 11:00:00,146.666666666667,1,-5,-8,1026,20.56,"SE",0,0
"12",2010-01-02 12:00:00,154.666666666667,1,-5,-8,1026,23.69,"SE",0,0
"13",2010-01-02 13:00:00,156.666666666667,1,-5,-8,1025,27.71,"SE",0,0
"14",2010-01-02 14:00:00,158.666666666667,1,-5,-9,1025,31.73,"SE",0,0
"15",2010-01-02 15:00:00,157,1,-5,-9,1025,35.75,"SE",0,0
"16",2010-01-02 16:00:00,159,1,-5,-9,1026,37.54,"SE",0,0
"17",2010-01-02 17:00:00,164.333333333333,1,-5,-8,1027,39.33,"SE",0,0
"18",2010-01-02 18:00:00,161,1,-5,-8,1027,42.46,"SE",0,0
"19",2010-01-02 19:00:00,157.666666666667,1,-5,-8,1028,44.25,"SE",0,0
"20",2010-01-02 20:00:00,155.666666666667,1,-5,-7,1028,46.04,"SE",0,0
"21",2010-01-02 21:00:00,158,1,-5,-7,1027,49.17,"SE",1,0
"22",2010-01-02 22:00:00,148.666666666667,1,-6,-8,1028,52.3,"SE",2,0
"23",2010-01-02 23:00:00,124,1,-6,-8,1027,55.43,"SE",3,0
"24",2010-01-03 00:00:00,93,1,-6,-7,1027,58.56,"SE",4,0
"25",2010-01-03 01:00:00,72.6666666666667,1,-6,-8,1026,61.69,"SE",5,0
"26",2010-01-03 02:00:00,61,1,-7,-8,1026,65.71,"SE",6,0
"27",2010-01-03 03:00:00,61.6666666666667,1,-7,-8,1025,68.84,"SE",7,0
"28",2010-01-03 04:00:00,67.6666666666667,1,-7,-8,1024,72.86,"SE",8,0
"29",2010-01-03 05:00:00,79.6666666666667,1,-8,-9,1024,76.88,"SE",9,0
"30",2010-01-03 06:00:00,86.6666666666667,1,-8,-10,1024,80.9,"SE",10,0
"31",2010-01-03 07:00:00,86.3333333333333,1,-9,-10,1024,84.92,"SE",11,0
"32",2010-01-03 08:00:00,84.6666666666667,1,-9,-10,1024,89.84,"SE",12,0
"33",2010-01-03 09:00:00,82,1,-9,-11,1023,93.86,"SE",13,0
"34",2010-01-03 10:00:00,87.3333333333333,1,-9,-11,1023,97.88,"SE",15,0
"35",2010-01-03 11:00:00,94.3333333333333,1,-9,-11,1022,102.8,"SE",16,0
"36",2010-01-03 12:00:00,98.3333333333333,1,-9,-11,1021,105.93,"SE",17,0
"37",2010-01-03 13:00:00,97.6666666666667,1,-9,-11,1020,111.74,"SE",19,0
"38",2010-01-03 14:00:00,93.6666666666667,1,-9,-11,1020,116.66,"SE",20,0
"39",2010-01-03 15:00:00,92.3333333333333,1,-9,-11,1020,121.58,"SE",21,0
"40",2010-01-03 16:00:00,83.6666666666667,1,-9,-11,1020,124.71,"SE",22,0
"41",2010-01-03 17:00:00,72.3333333333333,1,-9,-11,1020,127.84,"SE",23,0
"42",2010-01-03 18:00:00,61.3333333333333,1,-9,-11,1021,0.89,"cv",24,0
"43",2010-01-03 19:00:00,61.6666666666667,1,-9,-11,1022,1.78,"cv",25,0
"44",2010-01-03 20:00:00,65.3333333333333,1,-9,-10,1022,4.02,"NW",26,0
"45",2010-01-03 21:00:00,73,1,-10,-11,1023,7.15,"NW",27,0
"46",2010-01-03 22:00:00,73.6666666666667,1,-9,-11,1023,11.17,"NW",0,0
"47",2010-01-03 23:00:00,76,1,-11,-12,1023,14.3,"NW",0,0
"48",2010-01-04 00:00:00,70,1,-12,-14,1023,16.09,"NW",0,0
"49",2010-01-04 01:00:00,54,1,-9,-16,1023,21.9,"NW",0,0
"50",2010-01-04 02:00:00,36.3333333333333,1,-10,-17,1024,29.95,"NW",0,0
"51",2010-01-04 03:00:00,26.3333333333333,0,-11,-18,1024,39.78,"NW",0,0
"52",2010-01-04 04:00:00,26.6666666666667,0,-11,-19,1025,48.72,"NW",0,0
"53",2010-01-04 05:00:00,24.6666666666667,0,-12,-20,1026,55.87,"NW",0,0
"54",2010-01-04 06:00:00,25,0,-12,-21,1027,64.81,"NW",0,0
"55",2010-01-04 07:00:00,25,0,-13,-21,1027,73.75,"NW",0,0
"56",2010-01-04 08:00:00,27.3333333333333,0,-13,-22,1028,80.9,"NW",0,0
"57",2010-01-04 09:00:00,26.6666666666667,0,-13,-22,1029,90.73,"NW",0,0
"58",2010-01-04 10:00:00,26.3333333333333,0,-12,-22,1030,100.56,"NW",0,0
"59",2010-01-04 11:00:00,27,0,-12,-23,1031,108.61,"NW",0,0
"60",2010-01-04 12:00:00,28.6666666666667,0,-11,-21,1030,117.55,"NW",0,0
"61",2010-01-04 13:00:00,29.6666666666667,0,-10,-20,1030,127.38,"NW",0,0
"62",2010-01-04 14:00:00,29.6666666666667,0,-10,-21,1030,136.32,"NW",0,0
"63",2010-01-04 15:00:00,29,0,-9,-21,1030,145.26,"NW",0,0
"64",2010-01-04 16:00:00,29.6666666666667,0,-9,-21,1031,152.41,"NW",0,0
"65",2010-01-04 17:00:00,29.3333333333333,0,-11,-20,1032,159.56,"NW",0,0
"66",2010-01-04 18:00:00,28,0,-11,-23,1032,165.37,"NW",0,0
"67",2010-01-04 19:00:00,28.3333333333333,0,-12,-21,1033,171.18,"NW",0,0
"68",2010-01-04 20:00:00,30,0,-12,-24,1034,180.12,"NW",0,0
"69",2010-01-04 21:00:00,31,0,-13,-24,1034,187.27,"NW",0,0
"70",2010-01-04 22:00:00,31,0,-13,-24,1035,195.32,"NW",0,0
"71",2010-01-04 23:00:00,30,0,-15,-26,1035,198.45,"NW",0,0
"72",2010-01-05 00:00:00,31.6666666666667,0,-17,-26,1035,201.58,"NW",0,0
"73",2010-01-05 01:00:00,30.3333333333333,0,-18,-26,1035,205.6,"NW",0,0
"74",2010-01-05 02:00:00,28.6666666666667,0,-19,-26,1035,208.73,"NW",0,0
"75",2010-01-05 03:00:00,26.6666666666667,0,-18,-27,1035,213.65,"NW",0,0
"76",2010-01-05 04:00:00,27,0,-19,-27,1035,218.57,"NW",0,0
"77",2010-01-05 05:00:00,27.6666666666667,0,-16,-27,1034,4.92,"NE",0,0
"78",2010-01-05 06:00:00,27.3333333333333,0,-16,-26,1035,8.05,"NE",0,0
"79",2010-01-05 07:00:00,27,0,-16,-27,1034,13.86,"NE",0,0
"80",2010-01-05 08:00:00,27.6666666666667,0,-16,-26,1035,18.78,"NE",0,0
"81",2010-01-05 09:00:00,30.6666666666667,0,-15,-26,1035,24.59,"NE",0,0
"82",2010-01-05 10:00:00,31.6666666666667,0,-14,-25,1035,29.51,"NE",0,0
"83",2010-01-05 11:00:00,31,0,-13,-25,1035,34.43,"NE",0,0
"84",2010-01-05 12:00:00,32,0,-12,-25,1034,39.35,"NE",0,0
"85",2010-01-05 13:00:00,35.6666666666667,1,-11,-24,1032,41.14,"NE",0,0
