,Category,LivingArea,Address,SaleYYYY,AskingPrice,PriceSold,SaleYYYYMMDD,NumberBedrooms,NumberBathrooms,LotSize,DaysOnMarket,Lat,Lng,Population,avgAge,below15,below24,below44,below64,below65,AvgIncome,below50000,below80000,below100000,below150000,above150001,avgSize,totalHouse,size1,size2,size3,size4,size5,totalFam,Children,NoChildren,Single,Unemploy,Owner,Renter,totaldwelling,before1960,before1980,before1990,before2000,before2005,before2011,University,College,Secondary,Apprentice,No,NonImmigrant,Immigrant,french,English,Others
0,1 1/2 Storey,1700.0,"8845, avenue Henri-Julien Montreal",2010.0,398000.0,380000.0,20100417.0,4.0,1.0,3330.0,29.0,45.5451,-73.642169,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
1,1 1/2 Storey,1093.0,"12225, rue Desenclaves Montreal",2013.0,374000.0,365000.0,20130216.0,3.0,1.0,4311.0,22.0,45.543890999999995,-73.69985799999999,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
2,1 1/2 Storey,924.0,"5125, avenue Beaconsfield Montreal",2013.0,509000.0,509000.0,20130203.0,2.0,2.0,3813.0,15.0,45.474656,-73.63891,165000.0,38,16,14,33,23,14,48594.0,64,19,6,5,6,2.2,74270,40,29,15,15,1,39375,45,33,22,11,26,74,74235,59,29,7,2,1,2,48,15,20,6,11,47,53,32,39,29
3,1 1/2 Storey,1100.0,2466 Viau Montreal Montreal,2012.0,,,20120102.0,2.0,1.0,3900.0,240.0,45.561104,-73.541795,131000.0,41,13,12,32,28,15,47662.0,63,23,7,5,2,1.9,65600,45,32,12,10,1,32060,33,43,24,8,33,67,65630,48,34,9,3,2,4,24,16,22,14,24,80,20,85,5,10
4,1 1/2 Storey,1125.0,"2465, rue Sicard Montreal",2014.0,375000.0,375000.0,20140216.0,2.0,1.0,4213.0,6.0,45.558572999999996,-73.544012,131000.0,41,13,12,32,28,15,47662.0,63,23,7,5,2,1.9,65600,45,32,12,10,1,32060,33,43,24,8,33,67,65630,48,34,9,3,2,4,24,16,22,14,24,80,20,85,5,10
5,1 1/2 Storey,1098.0,"5096, rue Hertel Montreal",2010.0,249900.0,246000.0,20100408.0,3.0,1.0,5580.0,31.0,45.505973,-73.846902,68410.0,38,19,14,25,29,13,74628.0,34,26,13,17,10,2.7,24880,24,28,18,27,3,18810,53,30,17,7,72,28,24890,16,41,20,10,8,5,32,19,25,9,15,61,39,32,47,21
6,1 1/2 Storey,1400.0,"5928, rue AndrÀ_ Montreal",2012.0,,,20120930.0,2.0,2.0,7126.0,120.0,45.501689,-73.567256,68410.0,38,19,14,25,29,13,74628.0,34,26,13,17,10,2.7,24880,24,28,18,27,3,18810,53,30,17,7,72,28,24890,16,41,20,10,8,5,32,19,25,9,15,61,39,32,47,21
7,1 1/2 Storey,1050.0,5564 Waverly Montreal,2010.0,479000.0,465000.0,20101212.0,3.0,1.0,2067.0,63.0,45.524187,-73.60090699999999,100000.0,37,10,14,44,22,10,50556.0,60,21,7,7,5,1.7,56460,53,30,10,6,1,20155,31,52,17,7,27,73,56590,64,24,6,3,1,2,57,14,15,5,9,68,32,67,23,10
8,1 1/2 Storey,1367.0,"182, avenue Champetre Montreal",2010.0,219000.0,211000.0,20100429.0,3.0,2.0,3676.0,43.0,45.629838,-73.505507,106000.0,41,15,14,24,31,16,64459.0,43,26,12,15,4,2.4,42185,28,32,17,20,3,29690,44,35,21,7,63,37,42275,12,29,35,13,5,6,14,16,26,17,27,77,23,72,16,12
9,1 1/2 Storey,921.0,"12237, rue Victoria Montreal",2013.0,239000.0,227000.0,20131210.0,2.0,1.0,5289.0,15.0,45.642889000000004,-73.492295,106000.0,41,15,14,24,31,16,64459.0,43,26,12,15,4,2.4,42185,28,32,17,20,3,29690,44,35,21,7,63,37,42275,12,29,35,13,5,6,14,16,26,17,27,77,23,72,16,12
10,1 1/2 Storey,2289.0,"124, avenue Coolbreeze Montreal",2014.0,559000.0,550000.0,20140218.0,4.0,2.0,12072.0,33.0,45.451727000000005,-73.80337,30790.0,43,15,13,20,31,21,85569.0,36,22,12,17,13,2.5,12065,29,31,16,22,2,8445,49,36,15,6,72,28,12065,42,27,16,6,6,3,40,19,22,8,11,73,27,20,69,11
11,1 1/2 Storey,1247.0,"6856, 29e avenue Montreal",2014.0,359000.0,356000.0,20140501.0,3.0,1.0,3329.0,10.0,45.568544,-73.582729,134000.0,40,13,11,36,26,14,48216.0,63,22,7,6,2,1.8,71705,49,30,11,9,1,31425,34,44,22,8,28,72,71120,60,25,7,4,2,2,36,17,18,11,18,77,23,83,6,11
12,1 1/2 Storey,2621.0,"49, avenue Elmwood Montreal",2012.0,497000.0,446000.0,20120525.0,6.0,3.0,15500.0,240.0,45.518306,-73.603112,920.0,44,16,12,17,33,22,196000.0,27,21,6,15,31,2.6,350,18,41,14,25,2,295,44,46,10,4,86,14,350,63,25,12,0,0,0,49,21,15,7,8,72,28,32,66,2
13,1 1/2 Storey,1162.0,"4180, boulevad Henri-Bourassa Ouest Montreal",2012.0,314888.0,308000.0,20120215.0,4.0,2.0,4370.0,120.0,45.525696999999994,-73.699502,93842.0,39,19,12,30,23,16,61534.0,50,24,8,9,9,2.5,35960,29,28,17,23,3,24775,52,31,17,10,48,52,36005,30,35,12,7,7,9,40,15,21,7,17,46,54,37,26,37
14,1 1/2 Storey,1570.0,"1850, chemin Laval Montreal",2014.0,285000.0,267000.0,20140525.0,5.0,2.0,3690.0,210.0,45.521495,-73.695981,93842.0,39,19,12,30,23,16,61534.0,50,24,8,9,9,2.5,35960,29,28,17,23,3,24775,52,31,17,10,48,52,36005,30,35,12,7,7,9,40,15,21,7,17,46,54,37,26,37
15,1 1/2 Storey,1119.0,"1323, rue Manning Montreal",2014.0,379500.0,390000.0,20140220.0,4.0,1.0,4300.0,15.0,45.449969,-73.583966,66158.0,41,13,11,33,28,15,59026.0,54,22,7,7,10,2.0,32660,42,34,13,11,0,17135,34,45,21,8,36,64,32665,54,19,13,6,4,4,40,15,19,9,17,76,24,65,21,14
16,2 Storey,1345.0,6610 Rue Gouin ouest Montreal,2009.0,,,20091120.0,3.0,,5833.0,150.0,45.527667,-73.727283,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
17,2 Storey,1302.0,10555 Rue J.-J. Gagnier Montreal,2009.0,289000.0,280000.0,20090514.0,3.0,1.0,5000.0,65.0,45.580487,-73.648433,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
18,2 Storey,1980.0,12207A Rue Green-Lane Montreal,2011.0,579000.0,575000.0,20111111.0,5.0,3.0,4622.0,840.0,45.509734,-73.749907,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
19,2 Storey,2788.0,15 Rue Alliance Montreal,2010.0,,,20100202.0,5.0,2.0,18830.0,150.0,45.511434,-73.753789,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
20,2 Storey,1076.0,12122 Blvd St-Germain Montreal,2011.0,378900.0,365000.0,20110408.0,3.0,2.0,4250.0,44.0,45.533363,-73.710313,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
21,2 Storey,1800.0,"10200, avenue Georges Baril Montreal",2010.0,495000.0,480000.0,20100413.0,4.0,1.0,5000.0,19.0,45.557903,-73.657669,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
22,2 Storey,1280.0,"8867, rue Berri Montreal",2010.0,315000.0,305000.0,20100503.0,2.0,1.0,2000.0,29.0,45.546896999999994,-73.641554,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
23,2 Storey,1700.0,"10552, avenue SacrÀ_-coeur, Montreal, Ahuntsic Montreal",2010.0,495000.0,485000.0,20101012.0,4.0,3.0,5000.0,90.0,45.55,-73.67,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
24,2 Storey,2020.0,"10285, rue Jeanne-Mance Montreal",2010.0,,,20100503.0,3.0,2.0,4005.0,21.0,45.543458,-73.667503,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
25,2 Storey,2250.0,"10135, rue Chambord Montreal",2010.0,679000.0,645000.0,20100805.0,4.0,1.0,5000.0,23.0,45.559142,-73.655625,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
26,2 Storey,1344.0,10 333 rue De St-Firmin Montreal,2010.0,469000.0,475000.0,20100905.0,3.0,2.0,3276.0,2.0,45.570595000000004,-73.651637,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
27,2 Storey,1650.0,11715 Letellier Montreal,2011.0,225000.0,180000.0,20110207.0,,4.0,3172.0,120.0,45.541369,-73.686183,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
28,2 Storey,2200.0,12331 Notre Dame des Anges Montreal,2011.0,549000.0,529000.0,20110328.0,4.0,1.0,4500.0,17.0,45.534657,-73.716555,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
29,2 Storey,1350.0,10175 Chambord Montreal,2011.0,420000.0,408000.0,20110329.0,2.0,3.0,3750.0,19.0,45.559309000000006,-73.656238,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
30,2 Storey,2240.0,12360 DeSerres Montreal,2011.0,675000.0,675000.0,20110517.0,5.0,4.0,5550.0,53.0,45.533573,-73.719705,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
31,2 Storey,1248.0,"10660, Rue D'iberville Montreal",2011.0,419000.0,407000.0,20110526.0,3.0,2.0,5341.0,38.0,45.577493,-73.652606,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
32,2 Storey,2045.0,10854 av d'Auteuil Montreal,2011.0,779000.0,701000.0,20110827.0,5.0,2.0,4736.0,90.0,45.553063,-73.6697,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
33,2 Storey,1682.0,"1450, boulevard Gouin Ouest Montreal",2011.0,684500.0,670000.0,20111126.0,3.0,1.0,6181.0,25.0,45.545093,-73.699878,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
34,2 Storey,2716.0,10840 St-FranÀ_ois D'Assise Montreal,2011.0,,,20110913.0,4.0,4.0,12160.0,42.0,45.576634000000006,-73.65812199999999,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
35,2 Storey,1150.0,10072 Berri Montreal,2011.0,324000.0,313000.0,20111202.0,3.0,1.0,4178.0,90.0,45.551524,-73.659052,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
36,2 Storey,950.0,"10 464, de Lille Montreal",2011.0,,,20111021.0,2.0,1.0,2349.0,38.0,45.573023,-73.645661,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
37,2 Storey,1346.0,"12095, boulevard O'Brien Montreal",2011.0,365000.0,355000.0,20111206.0,3.0,2.0,7500.0,31.0,45.533654999999996,-73.70897099999999,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
38,2 Storey,1150.0,"10190, rue Verville Montreal",2012.0,495000.0,488000.0,20120228.0,3.0,1.0,3750.0,24.0,45.542608,-73.66703100000001,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
39,2 Storey,1483.0,"725, boulevard Gouin Est Montreal",2012.0,,,20120427.0,3.0,2.0,6608.0,90.0,45.558326,-73.66878100000001,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
40,2 Storey,1440.0,"10200, avenue PÀ_loquin Montreal",2012.0,629000.0,593000.0,20120309.0,3.0,2.0,5200.0,21.0,45.556581,-73.65869,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
41,2 Storey,1300.0,"165, rue Sauriol Ouest Montreal",2012.0,565000.0,540000.0,20120322.0,3.0,1.0,4680.0,33.0,45.545146,-73.663341,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
42,2 Storey,1600.0,"10562, rue Grande-AllÀ_e Montreal",2012.0,,,20120411.0,3.0,1.0,2500.0,61.0,45.550484999999995,-73.668199,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
43,2 Storey,1625.0,"17, avenue du Ruisseau Montreal",2013.0,395000.0,370000.0,20130823.0,3.0,1.0,5242.0,15.0,45.51116,-73.754693,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
44,2 Storey,1150.0,"1620, boulevard Gouin Ouest Montreal",2012.0,439000.0,439000.0,20120516.0,2.0,1.0,4827.0,15.0,45.544233,-73.701571,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
45,2 Storey,1840.0,"10125, avenue de L'Esplanade Montreal",2006.0,,,20060402.0,3.0,1.0,3330.0,2.0,45.545035,-73.663977,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
46,2 Storey,1344.0,"12245, boulevard O'Brien Montreal",2012.0,379000.0,365000.0,20121014.0,3.0,1.0,5000.0,33.0,45.53566,-73.711804,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
47,2 Storey,2400.0,"11884, rue Pasteur Montreal",2013.0,549500.0,540000.0,20130414.0,6.0,2.0,7345.0,5.0,45.53853,-73.69448100000001,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
48,2 Storey,1248.0,"11770, rue Lavigne Montreal",2012.0,429000.0,429000.0,20121023.0,5.0,2.0,4350.0,21.0,45.529446,-73.701088,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
49,2 Storey,2575.0,"10548, rue Laverdure Montreal",2012.0,729000.0,723000.0,20121107.0,5.0,2.0,7080.0,23.0,45.551386,-73.667805,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
50,2 Storey,1805.0,"10340, boulevard Olympia Montreal",2012.0,639000.0,645000.0,20121130.0,4.0,2.0,4700.0,16.0,45.562086,-73.657733,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
51,2 Storey,1510.0,"10465, rue Meunier Montreal",2013.0,669000.0,662000.0,20130130.0,3.0,2.0,4800.0,20.0,45.545777,-73.669444,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
52,2 Storey,1547.0,"6, avenue de l'Alliance Montreal",2013.0,325000.0,315000.0,20130414.0,3.0,2.0,5708.0,36.0,45.501689,-73.567256,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
53,2 Storey,1830.0,"10788, rue Saint-Hubert Montreal",2014.0,589000.0,567000.0,20140221.0,4.0,2.0,5600.0,150.0,45.558994,-73.66931600000001,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
54,2 Storey,1484.0,"12026, boulevard Saint-Germain Montreal",2013.0,519000.0,500000.0,20130814.0,4.0,2.0,4675.0,1.0,45.532173,-73.708417,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
55,2 Storey,1360.0,"8787, rue Ernest Savignac Montreal",2014.0,464000.0,450000.0,20140130.0,4.0,2.0,2610.0,90.0,45.557327,-73.632441,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
56,2 Storey,1913.0,"10015, rue Berri Montreal",2014.0,414000.0,400000.0,20140920.0,4.0,2.0,4017.0,180.0,45.551254,-73.657376,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
57,2 Storey,1970.0,"12109-11, rue Valmont Montreal",2014.0,569500.0,,20141126.0,4.0,1.0,5071.0,78.0,45.542774,-73.698437,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
58,2 Storey,1300.0,"195, rue Sauriol Ouest Montreal",2014.0,545000.0,534000.0,20141021.0,3.0,2.0,3775.0,11.0,45.544948,-73.663625,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
59,2 Storey,2135.0,"10830, boulevard Olympia Montreal",2011.0,779000.0,715000.0,20110406.0,4.0,1.0,5135.0,90.0,45.563633,-73.66419300000001,127000.0,41,16,11,29,26,18,54557.0,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,36,16,20,10,18,60,40,64,10,26
60,2 Storey,1200.0,"9291, avenue Justine Lacoste Montreal",2010.0,381000.0,,20100621.0,3.0,1.0,4547.0,18.0,45.607403999999995,-73.580259,41928.0,43,16,10,24,28,22,57384.0,51,28,8,8,5,2.1,19120,38,33,13,14,2,11455,39,41,20,9,44,56,19125,14,53,15,7,8,3,24,15,23,15,23,71,29,76,8,16
61,2 Storey,1080.0,6936 Lionel-Daunais Montreal,2011.0,349000.0,332000.0,20110216.0,3.0,1.0,4600.0,16.0,45.616153000000004,-73.54562299999999,41928.0,43,16,10,24,28,22,57384.0,51,28,8,8,5,2.1,19120,38,33,13,14,2,11455,39,41,20,9,44,56,19125,14,53,15,7,8,3,24,15,23,15,23,71,29,76,8,16
62,2 Storey,1288.0,"7751, avenue Mousseau Montreal",2014.0,379000.0,366000.0,20141110.0,3.0,2.0,3000.0,510.0,45.615140000000004,-73.554416,41928.0,43,16,10,24,28,22,57384.0,51,28,8,8,5,2.1,19120,38,33,13,14,2,11455,39,41,20,9,44,56,19125,14,53,15,7,8,3,24,15,23,15,23,71,29,76,8,16
63,2 Storey,1344.0,"6180, avenue des Jalesnes Montreal",2013.0,,,20130430.0,4.0,1.0,3001.0,33.0,45.591637,-73.551927,41928.0,43,16,10,24,28,22,57384.0,51,28,8,8,5,2.1,19120,38,33,13,14,2,11455,39,41,20,9,44,56,19125,14,53,15,7,8,3,24,15,23,15,23,71,29,76,8,16
64,2 Storey,1200.0,"7776, place Seuilly Montreal",2013.0,,,20130401.0,3.0,1.0,1600.0,22.0,45.608259000000004,-73.56103900000001,41928.0,43,16,10,24,28,22,57384.0,51,28,8,8,5,2.1,19120,38,33,13,14,2,11455,39,41,20,9,44,56,19125,14,53,15,7,8,3,24,15,23,15,23,71,29,76,8,16
65,2 Storey,2085.0,"8201, avenue Vaujours Montreal",2013.0,,,20131015.0,4.0,2.0,4994.0,90.0,45.607015000000004,-73.555924,41928.0,43,16,10,24,28,22,57384.0,51,28,8,8,5,2.1,19120,38,33,13,14,2,11455,39,41,20,9,44,56,19125,14,53,15,7,8,3,24,15,23,15,23,71,29,76,8,16
66,2 Storey,2200.0,"7020, avenue Guy Montreal",2014.0,369000.0,365000.0,20140412.0,4.0,3.0,7500.0,16.0,45.612732,-73.547821,41928.0,43,16,10,24,28,22,57384.0,51,28,8,8,5,2.1,19120,38,33,13,14,2,11455,39,41,20,9,44,56,19125,14,53,15,7,8,3,24,15,23,15,23,71,29,76,8,16
67,2 Storey,2200.0,"41, rue Claude Montreal",2010.0,529000.0,515000.0,20100702.0,4.0,2.0,9907.0,52.0,45.476745,-73.872855,19505.0,40,19,15,18,32,16,152000.0,20,15,10,21,34,2.9,6685,15,32,18,33,2,5650,56,33,11,6,90,10,6690,32,52,8,4,1,3,51,18,18,5,8,76,24,21,73,6
68,2 Storey,1800.0,"40, avenue Eastbourne Montreal",2010.0,439000.0,439000.0,20100101.0,4.0,2.0,7500.0,1.0,45.427181,-73.85888100000001,19505.0,40,19,15,18,32,16,152000.0,20,15,10,21,34,2.9,6685,15,32,18,33,2,5650,56,33,11,6,90,10,6690,32,52,8,4,1,3,51,18,18,5,8,76,24,21,73,6
69,2 Storey,2244.0,"59, rue Beaurepaire Montreal",2010.0,389000.0,385000.0,20100331.0,4.0,3.0,13281.0,13.0,45.435383,-73.841148,19505.0,40,19,15,18,32,16,152000.0,20,15,10,21,34,2.9,6685,15,32,18,33,2,5650,56,33,11,6,90,10,6690,32,52,8,4,1,3,51,18,18,5,8,76,24,21,73,6
70,2 Storey,2400.0,474 Jubilee Crescent Montreal,2012.0,,,20120504.0,4.0,2.0,7852.0,240.0,45.435525,-73.88159399999999,19505.0,40,19,15,18,32,16,152000.0,20,15,10,21,34,2.9,6685,15,32,18,33,2,5650,56,33,11,6,90,10,6690,32,52,8,4,1,3,51,18,18,5,8,76,24,21,73,6
71,2 Storey,2300.0,"125, croissant Chartwell Montreal",2011.0,539500.0,532000.0,20111229.0,5.0,3.0,8960.0,21.0,45.444493,-73.841026,19505.0,40,19,15,18,32,16,152000.0,20,15,10,21,34,2.9,6685,15,32,18,33,2,5650,56,33,11,6,90,10,6690,32,52,8,4,1,3,51,18,18,5,8,76,24,21,73,6
72,2 Storey,2250.0,"160, rue Woodside Montreal",2014.0,,,20140913.0,4.0,1.0,7300.0,150.0,45.500364000000005,-73.78632900000001,19505.0,40,19,15,18,32,16,152000.0,20,15,10,21,34,2.9,6685,15,32,18,33,2,5650,56,33,11,6,90,10,6690,32,52,8,4,1,3,51,18,18,5,8,76,24,21,73,6
73,2 Storey,2700.0,"101, rue Franklin Montreal",2014.0,614000.0,585000.0,20140709.0,5.0,3.0,8928.0,13.0,45.540833,-73.762392,19505.0,40,19,15,18,32,16,152000.0,20,15,10,21,34,2.9,6685,15,32,18,33,2,5650,56,33,11,6,90,10,6690,32,52,8,4,1,3,51,18,18,5,8,76,24,21,73,6
74,2 Storey,1900.0,"5891, rue Notre Dame de Grace Montreal",2010.0,729000.0,729000.0,20100503.0,4.0,1.0,2115.0,13.0,45.470131,-73.62201999999999,165000.0,38,16,14,33,23,14,48594.0,64,19,6,5,6,2.2,74270,40,29,15,15,1,39375,45,33,22,11,26,74,74235,59,29,7,2,1,2,48,15,20,6,11,47,53,32,39,29
75,2 Storey,935.0,"4911, avenue Kensington Montreal",2010.0,459000.0,437000.0,20101116.0,2.0,2.0,5000.0,150.0,45.472096,-73.636957,165000.0,38,16,14,33,23,14,48594.0,64,19,6,5,6,2.2,74270,40,29,15,15,1,39375,45,33,22,11,26,74,74235,59,29,7,2,1,2,48,15,20,6,11,47,53,32,39,29
76,2 Storey,2500.0,3586 Addington Montreal,2010.0,799000.0,750000.0,20101108.0,5.0,1.0,4500.0,120.0,45.474271,-73.614304,165000.0,38,16,14,33,23,14,48594.0,64,19,6,5,6,2.2,74270,40,29,15,15,1,39375,45,33,22,11,26,74,74235,59,29,7,2,1,2,48,15,20,6,11,47,53,32,39,29
